date,code,name,high,low,close,change,volume,value
2026-09-08,6952,大武山,39.25,39.15,39.15,-0.1,5800,227634
2026-09-08,6955,邦睿生技-創,99.9,99.9,99.9,-0.1,2264,226325
2026-09-08,6957,裕慶-KY,222,216,216,-5,81970,17860053
2026-09-08,6958,日盛台駿,17.4,17.15,17.4,-0.05,18482,320229
2026-09-08,6962,奕力-KY,32.5,31.25,31.25,-0.55,1844932,58380539
2026-09-08,6965,中傑-KY,75,73.9,74.9,0.1,8377,630642
2026-09-08,6969,成信實業*-創,37.15,34.45,36.95,3.15,799920,29425044
2026-09-08,6988,威力暘-創,12.5,11.7,11.95,-0.3,78421,956149
2026-09-08,6994,富威電力,36.2,35.2,35.2,-0.3,306767,10864869
2026-09-08,7610,聯友金屬-創,2170,2000,2065,65,2424763,5075985000
2026-09-08,7631,聚賢研發-創,146,142,142,-3.5,17687,2537816
2026-09-08,7689,大鵬科CLMX,171.5,165,165,-9,124438,20989959
2026-09-08,7705,三商餐飲,29.9,29.75,29.8,0,28694,855165
2026-09-08,7711,永擎,650,594,594,-66,2433484,1482834764
2026-09-08,7721,微程式,62.5,60.7,60.7,-0.4,21556,1325690
2026-09-08,7722,LINEPAY,278,272,272.5,-6.5,83524,22889818
2026-09-08,7730,暉盛-創,182,172.5,172.5,-8,79384,13970403
2026-09-08,7732,金興精密,34.5,34.5,34.5,-0.35,3574,124834
2026-09-08,7736,虎山,69.5,68.7,69.4,0,9677,668478
2026-09-08,7740,熙特爾-創,130,127.5,129,1,48133,6166000
2026-09-08,7749,意騰-KY,360.5,349,355,1,183788,65011958
2026-09-08,7750,新代,2395,2280,2315,-60,327199,764693175
2026-09-08,7760,享溫馨,33.15,33,33,-0.2,53640,1770788
2026-09-08,7765,中華資安,221,218.5,218.5,-2,130408,28599234
2026-09-08,7768,頌勝科技,281,275.5,275.5,-7.5,57676,16043399
2026-09-08,7769,鴻勁,7160,6500,6970,405,1903897,13156802150
2026-09-08,7780,大研生醫*,16.6,16.5,16.55,-0.1,636335,10529151
2026-09-08,7786,東方風能,116.5,115,115,-0.5,51261,5931922
2026-09-08,7788,松川精密,304.5,285,291.5,-25,3837173,1119873316
2026-09-08,7791,皇家可口,57.4,55.3,57.2,1.4,36213,2029936
2026-09-08,7795,長廣,587,541,555,19,2757172,1558722448
2026-09-08,7799,禾榮科,397.5,381,382.5,-12.5,318908,123651080
2026-09-08,7803,雲象科技-創,19.8,19.05,19.25,-0.25,14831,290666
2026-09-08,7818,溢泰實業,60.8,60.1,60.2,-0.5,28658,1728882
2026-09-08,7821,神數,39.8,39.6,39.65,-0.1,58993,2339372
2026-09-08,7822,倍利科,939,899,899,-31,192009,175786244
2026-09-08,7823,奧義賽博-KY創,82.8,79,80.7,-2.5,61019,4934250
2026-09-08,7827,漢康-KY創,154,151,151,-3,114971,17473155
2026-09-08,7835,永悅健康-創,23.1,21.75,23.1,-0.1,46000,1018950
